"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"106",106,"Cherry Hills Community Church, 3900 Grace Blvd., is holding a service tonight at 7 pm for the community. Dinner wil… https://t.co/ShGe3jcxrD",FALSE,5,NA,"2019-05-08 17:02:39",TRUE,NA,1126170559622946816,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alex_dewind",6,FALSE,FALSE,NA,NA
"714",714,"@Emperor_dt15 <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"Emperor_dt15","2019-05-09 20:44:31",FALSE,1126583087553400832,1126588784282349568,3234692460,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JarenMangham",0,FALSE,FALSE,NA,NA
"715",715,"@AprilZesbaugh @DENAirport @KOANewsRadio Everyone is visiting their mom!",FALSE,0,"AprilZesbaugh","2019-05-09 20:43:45",FALSE,1126552119861846016,1126588588559233024,29225770,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Bjorn12650",0,FALSE,FALSE,NA,NA
