"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"121",121,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:46:09",FALSE,NA,1125879519087194112,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","camschorizo",8,TRUE,FALSE,NA,NA
"123",123,"RT @LPSK12: Middle &amp; High School Dismissal Procedure:
Law enforcement has told us we can dismiss middle &amp; high school students as normal. M…",FALSE,0,NA,"2019-05-07 21:44:27",FALSE,NA,1125879088093192192,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","honeybeecamper",5,TRUE,FALSE,NA,NA
"124",124,"RT @LPSK12: Middle &amp; High School Dismissal Procedure:
Law enforcement has told us we can dismiss middle &amp; high school students as normal. M…",FALSE,0,NA,"2019-05-07 21:38:06",FALSE,NA,1125877490281357312,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","karlfisch",5,TRUE,FALSE,NA,NA
"125",125,"Middle &amp; High School Dismissal Procedure:
Law enforcement has told us we can dismiss middle &amp; high school students… https://t.co/p0egl8mb6q",FALSE,5,NA,"2019-05-07 21:36:09",TRUE,NA,1125877001049518080,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LPSK12",5,FALSE,FALSE,NA,NA
"126",126,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:31:42",FALSE,NA,1125875881732231168,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","honeybeecamper",8,TRUE,FALSE,NA,NA
"127",127,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:29:10",FALSE,NA,1125875241773756416,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","karlfisch",8,TRUE,FALSE,NA,NA
"128",128,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:28:19",FALSE,NA,1125875029256724480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kyle4Littleton",8,TRUE,FALSE,NA,NA
"129",129,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:27:25",FALSE,NA,1125874804786176000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrobinso1",8,TRUE,FALSE,NA,NA
"130",130,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:27:14",FALSE,NA,1125874756153032704,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeni_a",8,TRUE,FALSE,NA,NA
"131",131,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:25:59",FALSE,NA,1125874441953538048,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jessicaladosca",8,TRUE,FALSE,NA,NA
