"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"394",394,"See our latest #HighlandsRanch, CO #Hospitality job opportunity and click the link in our bio to apply: Restaurant… https://t.co/BbhblQo1kX",FALSE,0,NA,"2019-05-07 22:21:38",TRUE,NA,1125888447279845376,NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_den_jobs",0,FALSE,FALSE,-105.0148322,39.5477566
"482",482,"Want to work at JDHuntr In-House Jobs ? We're hiring in #HighlandsRanch, CO! Click the link in our bio for details… https://t.co/0ChUwUOlvY",FALSE,0,NA,"2019-05-07 17:07:00",TRUE,NA,1125809267603267584,NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_den_legal",0,FALSE,FALSE,-105.0148322,39.5477566
"609",609,"Make friends, have fun and work with real people who care about each other at Noodles &amp; Co.! #restaurantjobs… https://t.co/954lmmtGY0",FALSE,0,NA,"2019-05-06 07:46:39",TRUE,NA,1125305864112336896,NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","NoodlesCareers",0,FALSE,FALSE,-105.0041334,39.5460608
