"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6",6,"Covering the #STEMSchool vigil at Highlands Ranch HS.  The gym is pretty much at capacity.  We are not allowed to g… https://t.co/T40vIqVh59",FALSE,111,NA,"2019-05-09 02:26:21",TRUE,NA,1126312421549719552,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DoughertyKMGH",35,FALSE,FALSE,NA,NA
"7",7,"Rep Crow @ #STEMshooting vigil: “Where will we go from here? You sent me to DC to speak the truth so here it is. We… https://t.co/Pi2Whncy2U",FALSE,7,NA,"2019-05-09 02:10:50",TRUE,NA,1126308516854140928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alyssaaroberts",0,FALSE,FALSE,NA,NA
"9",9,"Packed house at HIghlands Ranch HIgh. Interfaith vigil honoring the victims and survivors of the #STEMshooting.… https://t.co/v6y99i0Kgu",FALSE,17,NA,"2019-05-09 01:52:12",TRUE,NA,1126303826204512256,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TomMustin",3,FALSE,FALSE,NA,NA
