"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","<ed><U+00A0><U+00BD><ed><U+00B0><U+0087><ed><U+00A0><U+00BD><ed><U+00B0><U+0087><ed><U+00A0><U+00BD><ed><U+00B0><U+0087> https://t.co/uP0BdBj27f",FALSE,6,NA,2018-07-22 14:33:21,FALSE,NA,"1021040508204929024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heyiamdaria",1,FALSE,FALSE,NA,NA
"2","Looking over these photos that Oleg Artemyev took of our Soyuz approaching the International Space Station a few we… https://t.co/X5xbOxefL6",FALSE,0,NA,2018-07-22 13:13:57,TRUE,NA,"1021020526439886849",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Space3Universe",0,FALSE,FALSE,"37.58416667","55.74583333"
"3","<U+0412><U+0435><U+043B><U+0438><U+043A><U+043E><U+043B><U+0435><U+043F><U+043D><U+044B><U+0435> <U+0438><U+043B><U+043B><U+044E><U+0441><U+0442><U+0440><U+0430><U+0446><U+0438><U+0438> <U+043B><U+044E><U+0431><U+0438><U+043C><U+044B><U+0445> <U+0441> <U+0434><U+0435><U+0442><U+0441><U+0442><U+0432><U+0430> <U+0441><U+043A><U+0430><U+0437><U+043E><U+043A> «<U+0410><U+043B><U+0438><U+0441><U+0430> <U+0432> <U+0441><U+0442><U+0440><U+0430><U+043D><U+0435> <U+0447><U+0443><U+0434><U+0435><U+0441>» <U+0438> «<U+0440><U+0443><U+0441><U+0430><U+043B><U+043E><U+0447><U+043A><U+0430>»<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @ <U+0421><U+043C><U+043E><U+043B><U+0435><U+043D><U+0441><U+043A><U+0438><U+0439> <U+041F><U+0430><U+0441><U+0441><U+0430><U+0436> https://t.co/owGjtkArcz",FALSE,0,NA,2018-07-22 09:53:41,FALSE,NA,"1020970125359534080",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Maria_Fetcher",0,FALSE,FALSE,"37.58129609","55.74756042"
