"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"184",184,"<U+042D><U+0442><U+043E><U+0442> <U+0427><U+0435><U+043C><U+043F><U+0438><U+043E><U+043D><U+0430><U+0442> <U+041C><U+0438><U+0440><U+0430> <U+043C><U+043E><U+0436><U+043D><U+043E> <U+043E><U+0445><U+0430><U+0440><U+0430><U+043A><U+0442><U+0435><U+0440><U+0438><U+0437><U+043E><U+0432><U+0430><U+0442><U+044C> <U+043E><U+0434><U+043D><U+0438><U+043C> <U+0441><U+043B><U+043E><U+0432><U+043E><U+043C> – <U+0417><U+0410><U+0415><U+0411><U+0418><U+0421><U+042C>!!! <U+0424><U+0440><U+0430><U+043D><U+0446><U+0443><U+0437><U+044B> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> <U+043A><U+043E><U+0440><U+043E><U+043B><U+0438> <U+044D><U+0442><U+043E><U+0433><U+043E> <U+0447><U+0435><U+043C><U+043F><U+0438><U+043E><U+043D><U+0430><U+0442><U+0430>. <U+041C><U+0431><U+0430><U+043F><U+043F><U+0435> <U+043A><U+0440>… https://t.co/HxRM3dWkSp",FALSE,0,NA,"2018-07-15 18:22:00",TRUE,NA,1.018561334882e+18,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","theegregious",0,FALSE,FALSE,37.55361111,55.71583333
"186",186,"<U+041F><U+0440><U+043E><U+0449><U+0430><U+0439>, <U+0427><U+0435><U+043C><U+043F><U+0438><U+043E><U+043D><U+0430><U+0442> <U+041C><U+0438><U+0440><U+0430> 2018! <U+0422><U+044B> <U+0431><U+044B><U+043B> <U+043F><U+0440><U+0435><U+043A><U+0440><U+0430><U+0441><U+0435><U+043D> <U+0438> <U+0443><U+0434><U+0438><U+0432><U+0438><U+0442><U+0435><U+043B><U+0435><U+043D>, <U+0437><U+0430><U+043F><U+043E><U+043C><U+043D><U+0438><U+0448><U+044C><U+0441><U+044F> <U+043C><U+043D><U+0435> <U+0438> <U+0432><U+0441><U+0435><U+043C><U+0443> <U+043C><U+0438><U+0440><U+0443> <U+043D><U+0435><U+0432><U+0435><U+0440><U+043E><U+044F><U+0442><U+043D><U+043E><U+0439> <U+0438><U+0433><U+0440><U+043E><U+0439> <U+0438> <U+043D><U+0430><U+0441><U+0442><U+043E><U+044F>… https://t.co/biOdcjf1c7",FALSE,0,NA,"2018-07-15 18:19:47",TRUE,NA,1018560775949094912,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iTrITon",0,FALSE,FALSE,37.55386591,55.71565318
"187",187,"Stories will be written about the success of our little country Croatia and this team’s heroic efforts.  Thank you… https://t.co/5nL6AtxWIC",FALSE,24,NA,"2018-07-15 18:19:46",TRUE,NA,1018560770387345408,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dhebel",0,FALSE,FALSE,37.55386591,55.71565318
"188",188,"L E S  MA G N I F I Q U E S ! #worldcup2018  #france #frenchteam à Luzhniki Stadium https://t.co/kuNgvQboWi",FALSE,0,NA,"2018-07-15 18:19:31",FALSE,NA,1018560708391440384,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","helenelifar",0,FALSE,FALSE,37.55361111,55.71583333
"189",189,"#worldcup2018 #moskow #loujnikistadium à Luzhniki Stadium https://t.co/wQutRVrejr",FALSE,0,NA,"2018-07-15 18:19:11",FALSE,NA,1018560625742577664,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","helenelifar",0,FALSE,FALSE,37.55361111,55.71583333
"190",190,"Torcida da #CRO faz enorme festa mesmo com a derrota aqui no Luzhniki <ed><U+00A0><U+00BC><ed><U+00BF><U+009F>. Impressionante! https://t.co/FCverIfs6E",FALSE,31,NA,"2018-07-15 18:18:31",FALSE,NA,1018560458700271616,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marco_bello",6,FALSE,FALSE,NA,NA
"191",191,"Si Dios quiere, ahí estaremos! Gracias #Rusia2018 Se viene #Qatar2022 https://t.co/7MhGnajyK1",FALSE,2,NA,"2018-07-15 18:18:07",FALSE,NA,1018560355864367104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FabricioColler",0,FALSE,FALSE,NA,NA
"192",192,"<U+041D><U+0435><U+043F><U+0435><U+0440><U+0435><U+0434><U+0430><U+0432><U+0430><U+0435><U+043C><U+044B><U+0435> <U+043E><U+0449><U+0443><U+0449><U+0435><U+043D><U+0438><U+044F>  <U+043F><U+0440><U+0430><U+0437><U+0434><U+043D><U+0438><U+043A><U+0430> <U+0444><U+0443><U+0442><U+0431><U+043E><U+043B><U+0430> , <U+043A><U+043E><U+0442><U+043E><U+0440><U+0430><U+044F> <U+043D><U+0430><U+0448><U+0430> <U+0441><U+0442><U+0440><U+0430><U+043D><U+0430> <U+043F><U+0440><U+043E><U+0432><U+0435><U+043B><U+0430> <U+0432><U+044B><U+0441><U+043E><U+0447><U+0430><U+0439><U+0448><U+0435><U+043C> <U+0443><U+0440><U+043E><U+0432><U+043D><U+0435> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F> natayakim <U+2764><U+FE0F> @… https://t.co/epNMvZSBU6",FALSE,13,NA,"2018-07-15 18:17:56",TRUE,NA,1018560309785751552,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","yanarudkovskaya",3,FALSE,FALSE,37.55361111,55.71583333
"193",193,"<U+0421><U+0431><U+043E><U+0440><U+043D><U+0430><U+044F> <U+0424><U+0440><U+0430><U+043D><U+0446><U+0438><U+0438> <U+043F><U+043E><U+0431><U+0435><U+0436><U+0434><U+0430><U+0435><U+0442> <U+0432> <U+0444><U+0438><U+043D><U+0430><U+043B><U+0435> <U+043A><U+043E><U+043C><U+0430><U+043D><U+0434><U+0443> <U+0425><U+043E><U+0440><U+0432><U+0430><U+0442><U+0438><U+0438> <U+0441><U+043E> <U+0441><U+0447><U+0435><U+0442><U+043E><U+043C> 4:2 <U+0438> <U+0441><U+0442><U+0430><U+043D><U+043E><U+0432><U+0438><U+0442><U+0441><U+044F> <U+0434><U+0432><U+0443><U+043A><U+0440><U+0430><U+0442><U+043D><U+044B><U+043C> <U+0447><U+0435><U+043C><U+043F><U+0438><U+043E><U+043D><U+043E><U+043C> <U+0447><U+0435><U+043C><U+043F><U+0438><U+043E><U+043D><U+0430><U+0442><U+043E><U+0432> <U+043C><U+0438><U+0440>… https://t.co/uLCSG0JEfe",FALSE,0,NA,"2018-07-15 18:15:45",TRUE,NA,1018559759023140864,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iwantshortnick",0,FALSE,FALSE,37.55386591,55.71565318
"195",195,"Bellísimo, bellísimo estadio <U+2764><U+FE0F> https://t.co/Cf490A1RM3",FALSE,8,"elizavalos_","2018-07-15 18:10:52",FALSE,1018504444982497280,1018558532776493056,166070673,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elizavalos_",0,FALSE,FALSE,NA,NA
