"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"88","@savagelivia https://t.co/1gU0EtZv4o",FALSE,12,"savagelivia",2019-08-02 13:19:59,FALSE,"1157027492231823361","1157279882885439488","752610654280773633","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaylieghaS",1,FALSE,FALSE,NA,NA
"89","Today marks 3 years <ed><U+00A0><U+00BE><ed><U+00B4><U+00A7>",FALSE,1,NA,2019-08-02 13:16:05,FALSE,NA,"1157278900810080257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sergg___",0,FALSE,FALSE,NA,NA
"90","This dude just said my breath smelt like heated up cabbage",FALSE,1,NA,2019-08-02 06:38:48,FALSE,NA,"1157178920556519424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ninjaneko69",1,FALSE,FALSE,NA,NA
"91","looking for the love in somebody else that I probably shoulda gave to myself",FALSE,1,NA,2019-08-02 05:50:38,FALSE,NA,"1157166800150249472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","celestetaylor_",0,FALSE,FALSE,NA,NA
"92","@chatafckkup miss u b<U+2764><U+FE0F> hope the desert is treating u well",FALSE,0,"chatafckkup",2019-08-02 05:40:41,FALSE,"1157163188468584450","1157164292866637830","822416605","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","celestetaylor_",0,FALSE,FALSE,NA,NA
"93","Bruh the responses are killing me <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/jCsAjrgzYi",FALSE,1,NA,2019-08-02 05:29:26,FALSE,NA,"1157161461673672704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlohaRandall",0,FALSE,FALSE,NA,NA
"94","RIP Nip! Shit is still unbelievable!",FALSE,1,NA,2019-08-02 05:19:44,FALSE,NA,"1157159020345483265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kidd_Charming93",0,FALSE,FALSE,NA,NA
"95","My boss told me I should buy a house <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+0094> shit I wanna",FALSE,2,NA,2019-08-02 02:00:09,FALSE,NA,"1157108796256399360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","candaaaaay",0,FALSE,FALSE,NA,NA
"96","Honestly working 6 days a week, 11 hours a day, SUCKS. I just want to sleep for a month straight",FALSE,0,NA,2019-08-02 01:59:00,FALSE,NA,"1157108505888903168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","candaaaaay",0,FALSE,FALSE,NA,NA
"97","@SommerRay 
That’s it, that’s the tweet",FALSE,0,"SommerRay",2019-08-02 01:51:52,FALSE,NA,"1157106711523557376","631274178","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hocutt_",0,FALSE,FALSE,NA,NA
"98","and I truly believe, God gave her to me when I was young...so I would know loss for the rest off my life.",FALSE,5,NA,2019-08-02 01:31:47,FALSE,NA,"1157101658419150849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarterCabral_",1,FALSE,FALSE,NA,NA
"99","Ready to gtf outta Texas yo!",FALSE,0,NA,2019-08-02 00:52:55,FALSE,NA,"1157091875578363904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kidd_Charming93",0,FALSE,FALSE,NA,NA
